interaction,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BCUT2D_MWHI,BCUT2D_MWLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,ExactMolWt,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,FractionCSP3,HallKierAlpha,HeavyAtomCount,HeavyAtomMolWt,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MaxPartialCharge,MinAbsEStateIndex,MinAbsPartialCharge,MinEStateIndex,MinPartialCharge,MolLogP,MolMR,MolWt,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRadicalElectrons,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumValenceElectrons,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,RingCount,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,qed
0.0,0.5522037634100279,-2.427929123103317,0.6363016769822322,-2.4115539353679174,2.8800281562782106,-0.9899950166746485,11.961955118828685,-0.24463228560619205,2.3744071451497777,1656.8977524461725,33.25411216497907,28.958171230364638,12.958171230364638,19.548117823818036,14.890109841620498,6.890109841620498,4.638342515752804,4.638342515752804,2.937060255527018,2.937060255527018,1.7381555746849704,1.7381555746849704,130.0919640554922,14.908855452837393,4.39041504767482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.668999852523566,365.10633621200043,1.1851851851851851,1.8888888888888888,2.5185185185185186,0.09523809523809523,-3.5399999999999983,27.0,349.2320000000001,638504994.6227391,6.884761753172726,7.781007941133726,4.174125888431965,177.21352433247648,15.756278861142889,0.42607974765098355,15.756278861142889,0.3180228347442881,0.8932697638918159,0.3180228347442881,-3.9849558164315138,-0.42607974765098355,5.110000000000003,98.98240000000003,365.3599999999998,0.0,5.0,0.0,0.0,0.0,3.0,0.0,3.0,4.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,136.0,4.736862953800049,11.5667326743298,0.0,0.0,5.687386274683562,5.969305287951849,14.908855452837393,4.39041504767482,0.0,0.0,42.29693095364306,36.10605122367956,23.131323131704463,27.266371408223385,3.0,40.77726313308789,11.656691562635412,0.0,0.0,0.0,12.745849802658757,0.0,94.00401509346801,0.0,16.876414816677897,4.736862953800049,10.077801322358383,5.749511833283905,0.0,10.892616336769521,4.794537184071822,15.931539109811467,40.24143819307929,72.50902449195954,0.0,11.126902983393991,0.0,69.44,147.7665723115901,0.0,23.164112336240333,11.159214390436457,-5.099383564513001,-9.602401242288181,-14.768627584846818,0.0,-3.9528199799522428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2726177107704328
2.1,1.9478975486772976e-17,-2.6197190610150085,4.073033803506215e-16,-2.5447409742277167,0.6306316389275121,-1.1253024090608765,10.35300275950647,-0.24782462805758632,3.008959217374875,1504.2311910743708,35.79001054984131,32.58020675735541,11.58020675735541,19.866708279131384,16.451127605115886,5.951127605115885,3.9493602792481903,3.9493602792481903,2.295323578148557,2.295323578148557,1.307541676869586,1.307541676869586,120.51228371337993,14.908855452837393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.736862953800049,28.785929679574615,327.14705815200057,1.25,1.9166666666666667,2.4583333333333335,0.3157894736842105,-2.6899999999999995,24.0,306.21200000000005,588027946.5208359,4.686265922845727,7.725175166459064,4.650594399814776,170.4755156819117,13.323765980967684,0.42607975750070454,13.323765980967684,0.31802103751271193,1.29361467091246,0.31802103751271193,-4.145918103919585,-0.42607975750070454,4.502400000000004,92.13040000000004,327.37999999999965,0.0,5.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,0.0,5.0,0.0,9.0,0.0,0.0,0.0,126.0,4.736862953800049,5.749511833283905,0.0,0.0,5.687386274683562,5.969305287951849,14.908855452837393,0.0,0.0,0.0,37.87345906524454,42.330515102708716,29.904698645539444,21.783337183542507,2.0,43.24064086626418,11.656691562635412,0.0,0.0,5.893957685363079,32.82255893857949,0.0,69.58057091346592,0.0,5.749511833283905,4.736862953800049,5.687386274683562,5.749511833283905,0.0,10.892616336769521,11.167462085401201,16.00827595412865,66.36246670021877,48.33934966130636,0.0,0.0,0.0,69.44,171.19347910201466,0.0,23.203666045174728,11.173514735119504,-4.653645668078233,-11.990945298254365,-12.178388439634553,-4.068427270264585,-12.012586539410519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3388192852090079
0.7,0.5233261564294223,-2.430616408527605,0.5740463220825957,-2.4133883669715974,2.880028156278209,-0.9899973183631319,11.960425563740264,-0.24464243371091818,2.39883009800287,1782.4654502217309,34.8314624341687,30.488455047819272,13.488455047819274,20.458801426340997,15.655251750347816,7.155251750347817,4.778484424480121,4.778484424480121,2.9994477233804893,2.9994477233804893,1.7533537494855522,1.7533537494855522,136.10040686847455,19.703392636909214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.039758408693785,375.11067264400043,1.0357142857142858,1.7142857142857142,2.357142857142857,0.09090909090909091,-3.7999999999999985,28.0,358.24400000000014,1531988934.8797321,6.9794924554183835,8.262434963579606,4.294678121933163,184.97942364415843,13.53307034906203,0.4260797554216414,13.53307034906203,0.31802142448362336,0.9186245971831573,0.31802142448362336,-3.995511371987069,-0.4260797554216414,4.534900000000003,103.4629,375.3799999999998,0.0,6.0,0.0,0.0,0.0,3.0,0.0,3.0,5.0,0.0,6.0,0.0,7.0,0.0,0.0,0.0,140.0,4.736862953800049,5.749511833283905,5.783244946364939,0.0,5.687386274683562,5.969305287951849,19.703392636909214,0.0,0.0,0.0,48.33934966130636,30.54259973198256,28.694774623401457,28.637129964393605,3.0,42.55214382565512,17.43993650900035,0.0,0.0,0.0,12.745849802658757,0.0,105.35611594347944,0.0,5.749511833283905,4.736862953800049,5.687386274683562,5.749511833283905,0.0,16.67586128313446,4.794537184071822,10.114318268765572,57.53363691671536,78.55144319962284,0.0,0.0,0.0,86.50999999999999,140.92544331686724,0.0,36.90200801615791,11.206893817236761,-5.326709292056774,-9.36715090905375,-16.03638001077135,0.0,-3.9707716050467248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20759059469691532
49.0,-2.236813752671306e-16,-2.454184847532302,-3.262217453529018e-17,-2.381608974859252,1.3313537946288704e-16,-1.0099450637664658,2.4749245551334342e-15,-0.24639327064747663,3.755817702933933,646.8819821134392,19.24855866551393,17.816496580927726,5.816496580927726,10.55325356538452,8.862372435695795,2.8623724356957947,1.7186436964131622,1.7186436964131622,0.9218218482065811,0.9218218482065811,0.5072597755906153,0.5072597755906153,61.52865257950667,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.736862953800049,16.44910267404264,164.083729624,1.6666666666666667,2.4166666666666665,3.0,0.3,-1.31,12.0,152.10799999999998,56582.37882113904,1.9496482647584341,3.90441914542027,2.381380891498966,89.02588490864775,11.551626826656587,0.45797634367594886,11.551626826656587,0.3027287633362624,0.8437131912950366,0.3027287633362624,-3.525859315948603,-0.45797634367594886,2.3107000000000006,46.62300000000003,164.2040000000001,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,64.0,4.736862953800049,6.080018026949988,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,30.212093538316473,12.415343608992675,15.076443454316998,8.224551337021321,1.0,25.980502811914505,5.969305287951849,0.0,0.0,0.0,19.783802261541346,0.0,35.77554503001347,0.0,0.0,0.0,0.0,0.0,0.0,5.969305287951849,9.53140013787187,0.0,41.796356427281005,30.212093538316473,0.0,0.0,0.0,26.3,92.86637810216679,0.0,11.551626826656587,0.0,-1.1471296296296296,-2.04126275510204,-4.895056728710001,-3.494097222222222,-6.923791926492823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.626803203661894
47.0,-2.933001503693187e-16,-2.535281385171739,-3.581270905628032e-17,-2.4431547795863344,2.6305820192237693e-17,-1.0799496976358165,7.907427532056337e-16,-0.2483237382538805,3.9605436089586212,734.7928909322771,21.74855866551393,20.316496580927726,6.316496580927726,11.80325356538452,10.112372435695795,3.1123724356957947,1.8436436964131622,1.8436436964131622,1.035352884514564,1.035352884514564,0.5952752937446069,0.5952752937446069,67.90157748083604,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.736862953800049,19.190619786383078,178.099379688,1.7692307692307692,2.5384615384615383,3.1538461538461537,0.36363636363636365,-1.31,13.0,164.11899999999997,193147.51059617446,2.024145433448271,4.651378356698753,2.898041396329141,98.20076802337998,11.77824247291509,0.45768990809305266,11.77824247291509,0.3027388164691003,0.9234325790501383,0.3027388164691003,-3.8383593159486047,-0.45768990809305266,2.700800000000001,51.24000000000004,178.2310000000001,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,70.0,4.736862953800049,6.080018026949988,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,37.06398565561216,11.936376393026375,17.817960566657437,8.224551337021321,1.0,28.722019924254944,5.969305287951849,0.0,0.0,0.0,26.156727162870727,0.0,35.77554503001347,0.0,0.0,0.0,0.0,0.0,0.0,5.969305287951849,9.53140013787187,0.0,50.91079844095084,30.212093538316473,0.0,0.0,0.0,26.3,109.13048252865963,0.0,11.77824247291509,0.0,-1.312754629629629,-2.1690405328798184,-5.430161603993447,-7.6189148715041615,-7.211186696900986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6650330710590724
49.0,-1.1657510763903982e-16,-2.4843079401136037,3.5272536426807e-17,-2.401959645071137,1.989442894514466e-16,-0.9305509355466028,2.144592541678024e-15,-0.24360537270797303,4.0168428354216426,808.6990887369226,22.40325920389318,20.816496580927726,6.816496580927726,12.407312840881543,10.362372435695795,3.3623724356957947,1.9686436964131622,1.9686436964131622,1.097852884514564,1.097852884514564,0.6520408118985983,0.6520408118985983,73.63279607157779,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.736862953800049,19.190619786383078,190.099379688,2.0,2.7857142857142856,3.4285714285714284,0.25,-1.5699999999999998,14.0,176.12999999999997,365525.79012422264,2.3247125660784294,5.22255467272389,3.0529023955834815,103.87610710559233,11.856379283194759,0.4573448798700322,11.856379283194759,0.3027501155229385,0.9100738404929876,0.3027501155229385,-3.6841435185185194,-0.4573448798700322,2.866900000000001,55.76300000000004,190.2420000000001,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,74.0,4.736862953800049,6.080018026949988,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,6.531038962001867,36.26416528435204,5.563451491696996,20.07860979947616,12.33682700553198,1.0,28.722019924254944,5.969305287951849,0.0,0.0,0.0,19.304835045575047,0.0,48.3586557380509,0.0,0.0,0.0,0.0,0.0,0.0,5.969305287951849,9.53140013787187,0.0,44.058906323655144,42.79520424635391,0.0,0.0,0.0,26.3,109.90861300075588,0.0,11.856379283194759,0.0,-1.2573148148148146,-2.1365764361300075,-6.8458278087469555,-7.308382464096753,-4.966890760162092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5387203225899239
0.0,-3.0583013055673184e-16,-2.633038262948536,-6.63181664543218e-17,-2.51322050901838,-1.1755554058323597e-16,-1.1320665252553725,1.2336359663427736e-16,-0.24843398658158825,4.165043004987762,915.1231701736274,26.74855866551393,25.316496580927726,7.316496580927726,14.30325356538452,12.612372435695795,3.6123724356957947,2.093643696413162,2.093643696413162,1.1603528845145639,1.1603528845145639,0.6832908118985983,0.6832908118985983,80.6474272834948,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.736862953800049,24.673654011063956,206.130679816,1.6666666666666667,2.466666666666667,3.1333333333333333,0.46153846153846156,-1.31,15.0,188.14099999999996,2223208.282162066,2.1952410435943577,6.225553520457816,4.1514367903454765,116.55053425284444,12.081190909234063,0.45767869059296734,12.081190909234063,0.3027389898025469,1.0419993228772986,0.3027389898025469,-4.340442649281938,-0.45767869059296734,3.4810000000000025,60.474000000000046,206.28500000000014,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,82.0,4.736862953800049,6.080018026949988,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,43.436910556941534,18.309301294355755,23.300994791338315,8.224551337021321,1.0,34.20505414893583,5.969305287951849,0.0,0.0,0.0,38.902576965529484,0.0,35.77554503001347,0.0,0.0,0.0,0.0,0.0,0.0,5.969305287951849,9.53140013787187,0.0,69.13968246829047,30.212093538316473,0.0,0.0,0.0,26.3,142.12474846728816,0.0,12.081190909234063,0.0,-1.5404473733938013,-2.348674886621315,-6.197161911060719,-16.88757310563115,-7.565415433148572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6892925657500486
45.0,-4.342270456817178e-16,-2.6198188303174885,-9.224409358063252e-17,-2.5450444701525248,-1.0338273729903132e-16,-1.1253076779192952,-2.418637141840854e-16,-0.24913309202484335,4.2166954167625335,1077.713604369685,31.74855866551393,30.316496580927726,8.316496580927726,16.764578430789705,15.112372435695795,4.112372435695795,2.616581623797196,2.616581623797196,1.4728528845145639,1.4728528845145639,0.8244419604112734,0.8244419604112734,93.39327708615355,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.736862953800049,30.156688235744834,234.161979944,1.4705882352941178,2.235294117647059,2.823529411764706,0.5333333333333333,-1.31,17.0,212.16299999999995,21103411.46523379,2.38349508259593,6.431432422879949,4.215168290788521,134.90030048230886,12.803799049750754,0.465528169559551,12.803799049750754,0.3126124585812095,1.6226105835852855,0.3126124585812095,-4.1153206624324055,-0.465528169559551,3.551700000000003,70.03200000000005,234.33900000000017,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,94.0,4.736862953800049,0.0,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,37.87345906524454,37.09756980467781,21.932136898723517,20.677494265300684,1.0,39.68808837361672,5.969305287951849,0.0,0.0,5.893957685363079,39.674451055875174,6.558985242916289,35.29657781404717,0.0,0.0,0.0,0.0,0.0,0.0,12.528290530868137,15.90432503920125,5.893957685363079,74.58511737368464,24.16967483065318,0.0,0.0,0.0,26.3,173.57275557674294,0.0,12.803799049750754,0.0,-3.2876663281053164,-10.66817323864808,-6.667666367472913,-4.035966396142939,-19.550415629457795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7281920557985019
41.0,0.264057260157932,-2.429975315291572,0.31409462657870574,-2.4109983177432106,2.8800281562782084,-0.9899996698376146,11.36025534006568,-0.24459966851707277,2.824699462774589,1137.7727695419085,25.790010549841313,22.580206757355413,9.58020675735541,14.905383413726195,11.451127605115886,4.951127605115885,3.19936027924819,3.19936027924819,1.9203235781485577,1.9203235781485577,1.0575416768695867,1.0575416768695867,95.02058410806242,14.908855452837393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.736862953800049,17.819861230212858,271.08445789600034,1.3,1.95,2.5,0.13333333333333333,-2.689999999999999,20.0,258.16799999999995,5437464.484488144,4.697197864035897,5.967879590587581,3.1980726328987163,133.7759832229828,12.910628306878305,0.42607975750788013,12.910628306878305,0.3180210347931207,0.9259603330032895,0.3180210347931207,-3.711453963529859,-0.42607975750788013,3.3039000000000014,73.58840000000004,271.2719999999997,0.0,5.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,102.0,4.736862953800049,5.749511833283905,0.0,0.0,5.687386274683562,5.969305287951849,14.908855452837393,0.0,0.0,0.0,30.212093538316473,24.500181024319264,17.567871640007468,23.154095739712726,2.0,32.274572416902394,11.656691562635412,0.0,0.0,0.0,12.745849802658757,0.0,70.05953812943221,0.0,5.749511833283905,4.736862953800049,5.687386274683562,5.749511833283905,0.0,10.892616336769521,4.794537184071822,10.114318268765572,36.12916252456862,54.38176836896965,0.0,0.0,0.0,69.44,105.49339168157206,0.0,22.715381050181264,11.016791882375465,-2.5147747985723723,-7.032017523830521,-10.300651661529393,0.0,-3.711453963529859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3700354134468748
9.0,0.2638737923693438,-2.4305875261856946,0.3145027511521365,-2.4099438763136907,2.8174478176606,-0.9900079626279497,11.569861895625642,-0.24626204502406931,2.414891859951566,1689.0846298038105,33.30651840778636,29.488455047819272,12.488455047819274,19.41120203063963,15.109375895579749,6.609375895579748,4.505546497096087,4.505546497096087,2.874447723380488,2.874447723380488,1.716369267639543,1.716369267639543,124.62291553682181,14.908855452837393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.736862953800049,28.039758408693785,351.1106726440005,1.1153846153846154,1.8076923076923077,2.5,0.15,-3.4099999999999997,26.0,334.2220000000001,504908833.17767495,6.08756588911286,7.226189719938787,3.6403219782329357,173.55601709929272,13.384735849701576,0.49674510424610224,13.384735849701576,0.3180214113598322,0.8099881107810678,0.3180214113598322,-3.880319074714368,-0.49674510424610224,4.4657000000000036,97.64640000000003,351.3579999999998,0.0,6.0,0.0,0.0,0.0,3.0,0.0,3.0,5.0,0.0,6.0,0.0,7.0,0.0,0.0,0.0,132.0,9.473725907600098,11.49902366656781,0.0,0.0,5.687386274683562,5.969305287951849,14.908855452837393,0.0,0.0,0.0,24.16967483065318,47.35746686857544,17.567871640007468,35.6750824232762,3.0,42.49446959538335,22.429139991565002,0.0,0.0,0.0,12.745849802658757,7.037952458882589,76.10195683709551,0.0,11.49902366656781,9.473725907600098,5.687386274683562,11.49902366656781,0.0,17.930568795652107,4.794537184071822,10.114318268765572,41.61219674924951,60.42418707663295,0.0,10.772448428929591,0.0,78.67,144.73695523906076,0.0,23.32050480538042,9.482992235353287,-2.704451901901189,-8.451570672836615,-12.190507859821878,0.0,-3.880319074714368,-3.230269437187113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2932936073398223
